number,id,title,grammarLabel
101,"lesson-101-tell-story","讲故事","一句接一句 · 混排（then 认读）"
102,"lesson-102-phone-story","昨天那个电话","收口 · 大团圆（零新知）"
103,"lesson-103-makes-me","妈妈让我先写作业","让某人做 · makes + 动作穿原样"
104,"lesson-104-made-me","昨天他让我等了半小时","昨天版的「让」 · made + 动作穿原样"
105,"lesson-105-doesnt-let","她不让我去","不让做 · doesn't + let + 动作穿原样"
106,"lesson-106-let-him","她让他玩","让谁做 · lets + 人名 + 动作穿原样"
107,"lesson-107-have-him","老师让我来一趟","让我做 · had + 人名 + 动作穿原样"
108,"lesson-108-got-him-to","我说服了他一起去","费了口舌请动 · got him to + 垫一块垫板"
109,"lesson-109-until","我一直等到雨停","等到…为止 · until + 小句子"
110,"lesson-110-who-makes-who","谁让谁做什么","收口 · 四张脸排一行"
111,"lesson-111-possessive-s","奶奶的生日","谁的 · 人后面加撇号 s"
112,"lesson-112-this-is-mine","这本是我的","长版 vs 短版 · mine 自己站，撇号 s 贴东西"
113,"lesson-113-bored-boring","我很无聊","感到版 vs 让人版 · -ed 说感到、-ing 说它让人"
114,"lesson-114-a-few","只剩几个了","还有几个 vs 几乎没了 · a 在不在，意思反一半"
115,"lesson-115-have-got","我有一辆新自行车","轻口气的「有」 · have got"
116,"lesson-116-has-got","她有一个新包","换人换形 · has got（缩起来 's got）"
117,"lesson-117-all-i-wanted","我一直想说的那些（合体）","合体 · 四种说法排一行"
118,"lesson-118-close-17","我一直想说的那些（收口）","收口 · 零新知（六行排一行）"
119,"lesson-119-used-to-it","我习惯了","习惯了 · be used to + 东西"
120,"lesson-120-used-to-doing","习惯了早起","做的事穿名字版 · be used to + -ing"
121,"lesson-121-get-used-to","慢慢就习惯了","慢慢习惯 · get used to（过程）"
122,"lesson-122-two-faces","从前常，现在习惯了","两张脸排一行 · used to vs be used to"
123,"lesson-123-not-used-to","我还不习惯","说不和问 · not 跟 be 走、Are 搬句首"
124,"lesson-124-close-18","同一个 to，两张脸（收口）","收口 · 零新知（四句排一行）"
125,"lesson-125-it-looks-nice","它看起来不错","看起来怎样 · look 中间站，后面跟「怎么样」"
126,"lesson-126-you-look-tired","你看起来很累","换人换形 · you look / she looks"
127,"lesson-127-two-look-faces","同一个 look，两张脸（收口）","收口 · 零新知（喊人看 vs 说样子）"
128,"lesson-128-it-sounds-great","听起来不错","听起来 · sounds 自己站中间"
129,"lesson-129-it-smells-good","闻着真香","闻着 · smells good（不说 well）"
130,"lesson-130-it-tastes-good","尝着真好吃","尝着 · tastes good（也不加 -ly）"
131,"lesson-131-the-water-feels-cold","水摸着凉","摸着 · feels cold（手的感觉）"
132,"lesson-132-does-it-sound-good","听着好吗","说不和问 · 帮手出场，感官词退回原样"
133,"lesson-133-five-senses","五种感官排一行（收口）","收口 · 零新知（五张脸排一行）"
134,"lesson-134-looking-forward-to-the-weekend","我盼着周末","盼着 · look forward to + 那件事"
135,"lesson-135-she-looks-forward-to","她盼着夏天","换人换形 · looks forward to（她配 s）"
136,"lesson-136-looking-forward-to-seeing-you","盼着见到你","盼的是做某事 · forward to + 名字版"
137,"lesson-137-are-you-looking-forward-to","你盼着夏天吗","说不和问 · Are 搬句首、not 跟 be 走"
138,"lesson-138-two-stations","同一个 to 的两站（收口）","收口 · 零新知（习惯了的 to vs 盼着的 to）"
139,"lesson-139-although","虽然下雨了","虽然 · although 站最前面"
140,"lesson-140-but-vs-although","可是 vs 虽然","两张脸 · although 站前面 / but 站中间"
141,"lesson-141-close-22","虽然但是排一行（收口）","收口 · 零新知（两张脸排一行）"
142,"lesson-142-as-soon-as","我一写完就来吃","一到就做 · as soon as + 小句子"
143,"lesson-143-when-vs-as-soon-as","那段时间和那一刻","差在哪儿 · when 管那段时间／as soon as 管一到就"
144,"lesson-144-close-23","时间家族排一行（收口）","收口 · 零新知（六格排一行）"
145,"lesson-145-too-also","我也要一个","也一样 · too 站句尾"
146,"lesson-146-not-either","我也不喜欢","两张脸 · 肯定用 too／否定用 either"
147,"lesson-147-close-24","也家排一行（收口）","收口 · 零新知（也的两张脸）"
148,"lesson-148-both","两本都好","两个都 · both 站最前面"
149,"lesson-149-neither","两本都不好","两个都不 · neither 上，both 让位"
150,"lesson-150-close-25","两个排一行（收口）","收口 · 零新知（两个的脸）"
151,"lesson-151-all-three","全都好","三个以上都 · all 也站最前面"
152,"lesson-152-every-student","每个都到了","差在哪儿 · 好多个一起／一个一个来"
153,"lesson-153-yet-already","还没、已经","还没 · yet 站句尾／已经 · already 站中间"
154,"lesson-154-still","还在等","差在哪儿 · 还没来／还在等"
155,"lesson-155-ago","三天前","多久以前 · ago 站句尾"
156,"lesson-156-for-hour","等了一个小时","持续多久 · for 接一段时间"
157,"lesson-157-none","一个都不好","一个都不 · none 后面拴 of"
158,"lesson-158-nobody","一个人都没有","一个人都不 · nobody 装一个人"
159,"lesson-159-look-like","像一条船","看起来像 · look 后面跟 like"
160,"lesson-160-seem-to","他好像认识你","好像 · seem 后面跟 to"
161,"lesson-161-need-to","我需要买牛奶","需要 · need 后面也跟 to"
162,"lesson-162-most-of","大多数都喜欢","大多数 · most 后面也要 of"
163,"lesson-163-myself","我自己来","自己做 · myself"
164,"lesson-164-himself","她自己会","自己做 · himself / herself"
165,"lesson-165-each-other","互相帮忙","互相 · each other"
166,"lesson-166-too-many","人太多了","太多 · too many / too much"
167,"lesson-167-a-lot-of","有很多朋友","很多 · a lot of"
168,"lesson-168-why-dont-you","怎么不歇一会儿","建议 · Why don't you…?"
169,"lesson-169-id-like","我想要一杯茶","缩写 · I'd like（更口语）"
170,"lesson-170-both-and","又会唱又会跳","既…又… · both…and"
171,"lesson-171-neither-nor","既不会也不喜欢","既不…也不… · neither…nor"
172,"lesson-172-unless","除非下雨","除非 · unless"
173,"lesson-173-in-order-to","为了赶上早班车","为了 · in order to"
174,"lesson-174-be-able-to","这次我能自己去了","能够 · be able to"
175,"lesson-175-so-do-i","我也是","我也是 · So do I"
176,"lesson-176-would-rather","我宁愿走路","宁愿 · would rather"
177,"lesson-177-prefer","更喜欢茶","更喜欢 · prefer"
178,"lesson-178-had-done","到家才发现钥匙丢了","更早的那件 · had + 做过版"
179,"lesson-179-shall","我们走哪条路","征求意见 · Shall we…?"
180,"lesson-180-whole","整本书都读完了","整个 · whole 管一个完整的"
181,"lesson-181-had-better","我们最好现在就走","最好… · had better（永远用 had）"
182,"lesson-182-close-24","这一季排一行（全都、还没、多久）","收口 · 零新知（六件事排一行）"
183,"lesson-183-close-25","这一季排一行（一个都不、看起来像）","收口 · 零新知（身边的事排一行）"
184,"lesson-184-close-26","这一季排一行（我自己、太多、怎么不）","收口 · 零新知（日常六句排一行）"
185,"lesson-185-close-27","这一季排一行（成对儿的说法）","收口 · 零新知（五对八句排一行）"
186,"lesson-186-so-that","早点来是为了让你歇会儿","是为了 · so that"
187,"lesson-187-as-long-as","只要你跟着我","只要 · as long as"
188,"lesson-188-had-to","昨天不得不走回家","不得不 · 昨天的事用 had to"
189,"lesson-189-their","他们的东西","他们的 · their 贴前面／theirs 自己站"
190,"lesson-190-learning-to-swim","我正在学游泳","正在学做 · 前面穿 -ing，后面垫 to"
191,"lesson-191-walked-into","她走进了厨房","进到里面 · 用 into——不只是一个 in"
192,"lesson-192-through-across","穿过树林、横过小桥","穿过 · 中间穿过去用 through，横过一头到另一头用 across"
193,"lesson-193-so-that-result","风太大，窗户破了","太…了，所以… · so 和 that 一头一尾"
194,"lesson-194-such-a","这么大的一条鱼","这么…的一个 · a 跟在 such 后面"
195,"lesson-195-its","猫在它的盒子里","它的 · 不带小撇的 its"
196,"lesson-196-among","猫在一堆箱子中间","一群里 · among 和 between 差在几个"
197,"lesson-197-irregular-past","想了一晚上，想通了","昨天的老朋友 · 有些词的昨天版要单独记"
198,"lesson-198-swam-sang","又游泳又唱歌","昨天版换零件 · swim 变 swam、sing 变 sang"
199,"lesson-199-sat-caught","坐旁边，赶上了","昨天版 · sit 变 sat、catch 变 caught"
200,"lesson-200-felt-kept","雪里读完了那本书","昨天版 · feel 变 felt、keep 变 kept"
201,"lesson-201-slept","昨晚睡得好","昨天版 · sleep 变 slept"
202,"lesson-202-drew","画了条船贴在墙上","昨天版 · draw 变 drew"
203,"lesson-203-wore","昨天戴了顶新帽子","昨天版 · wear 变 wore"
204,"lesson-204-gave","她给了我一块大蛋糕","昨天版 · give 变 gave"
205,"lesson-205-by-the-time","到家的时候天已经黑了","到…的时候 · by the time"
